Year,School,Gender,Sport,Total Expense,Operating Expense,Undergrads
2005,Cornell College,Women,Golf,13402,9120,641
2005,Cornell College,Women,Soccer,17571,11467,641
2005,Cornell College,Women,Softball,28020,13571,641
2005,Cornell College,Women,Tennis,20952,13565,641
2005,Cornell College,Women,Total,302121,113673,641
2005,Cornell College,Women,Volleyball,64907,24328,641
2006,Cornell College,Men,All Track Combined,66496,13465,520
2006,Cornell College,Men,Baseball,72367,22010,520
2006,Cornell College,Men,Basketball,92981,15380,520
2006,Cornell College,Men,Football,227665,24699,520
2006,Cornell College,Men,Golf,10284,5958,520
2006,Cornell College,Men,Soccer,13279,6876,520
2006,Cornell College,Men,Tennis,5272,1493,520
2006,Cornell College,Men,Total,606838,119699,520
2006,Cornell College,Men,Wrestling,118494,29818,520
2006,Cornell College,Women,All Track Combined,66124,12405,598
2006,Cornell College,Women,Basketball,138246,49876,598
2006,Cornell College,Women,Golf,8156,4222,598
2006,Cornell College,Women,Soccer,16330,11267,598
2006,Cornell College,Women,Softball,61997,10928,598
2006,Cornell College,Women,Tennis,19259,11085,598
2006,Cornell College,Women,Total,378041,115736,598
2006,Cornell College,Women,Volleyball,67929,15953,598
2007,Cornell College,Men,Baseball,91959,44322,519
2007,Cornell College,Men,Basketball,147264,32703,519
2007,Cornell College,Men,Football,284079,77108,519
2007,Cornell College,Men,Golf,8438,5112,519
2007,Cornell College,Men,Soccer,12654,7412,519
2007,Cornell College,Men,Tennis,28074,8605,519
2007,Cornell College,Men,Total,761583,240040,519
2007,Cornell College,Men,Track and Field Indoor,21108,7672,519
2007,Cornell College,Men,Track and Field Outdoor,21108,7672,519
2007,Cornell College,Men,Cross Country,23378,4099,519
2007,Cornell College,Men,Wrestling,123521,45335,519
2007,Cornell College,Women,Basketball,138087,21897,540
2007,Cornell College,Women,Golf,8129,4365,540
2007,Cornell College,Women,Soccer,17787,9032,540
2007,Cornell College,Women,Softball,70543,20791,540
2007,Cornell College,Women,Tennis,32588,4637,540
2007,Cornell College,Women,Total,398813,97592,540
2007,Cornell College,Women,Track and Field Indoor,20861,7247,540
2007,Cornell College,Women,Track and Field Outdoor,20861,7247,540
2007,Cornell College,Women,Cross Country,23378,4099,540
2007,Cornell College,Women,Volleyball,66579,18277,540
2008,Cornell College,Men,Baseball,83142,23916,548
2008,Cornell College,Men,Basketball,131731,25292,548
2008,Cornell College,Men,Football,280676,63277,548
2008,Cornell College,Men,Golf,12096,7411,548
2008,Cornell College,Men,Soccer,33888,11192,548
2008,Cornell College,Men,Tennis,35825,8537,548
2008,Cornell College,Men,Total,803399,192734,548
2008,Cornell College,Men,Track and Field Indoor,28751,7873,548
2008,Cornell College,Men,Track and Field Outdoor,28751,7873,548
2008,Cornell College,Men,Cross Country,27410,7261,548
2008,Cornell College,Men,Wrestling,141129,30102,548
2008,Cornell College,Women,Basketball,139560,16639,555
2008,Cornell College,Women,Golf,9771,5136,555
2008,Cornell College,Women,Soccer,42568,19197,555
2008,Cornell College,Women,Softball,93164,27318,555
2008,Cornell College,Women,Tennis,34711,6905,555
2008,Cornell College,Women,Total,493379,119774,555
2008,Cornell College,Women,Track and Field Indoor,28793,7217,555
2008,Cornell College,Women,Track and Field Outdoor,28793,7217,555
2008,Cornell College,Women,Cross Country,25176,5027,555
2008,Cornell College,Women,Volleyball,90843,25118,555
2009,Cornell College,Men,Baseball,86380,25419,536
2009,Cornell College,Men,Basketball,131880,29531,536
2009,Cornell College,Men,Football,297638,53149,536
2009,Cornell College,Men,Golf,11348,8547,536
2009,Cornell College,Men,Soccer,30244,11418,536
2009,Cornell College,Men,Tennis,39076,11304,536
2009,Cornell College,Men,Total,777354,185315,536
2009,Cornell College,Men,Track and Field Indoor,25769,9798,536
2009,Cornell College,Men,Track and Field Outdoor,25769,9798,536
2009,Cornell College,Men,Cross Country,22357,7449,536
2009,Cornell College,Men,Wrestling,106893,18902,536
2009,Cornell College,Women,Basketball,135560,22926,585
2009,Cornell College,Women,Golf,6401,5238,585
2009,Cornell College,Women,Soccer,32149,10572,585
2009,Cornell College,Women,Softball,75481,24101,585
2009,Cornell College,Women,Tennis,27886,5877,585
2009,Cornell College,Women,Total,415036,107813,585
2009,Cornell College,Women,Track and Field Indoor,23691,7720,585
2009,Cornell College,Women,Track and Field Outdoor,23691,7720,585
2009,Cornell College,Women,Cross Country,20287,5379,585
2009,Cornell College,Women,Volleyball,69890,18280,585
2010,Cornell College,Men,Baseball,80380,22471,543
2010,Cornell College,Men,Basketball,118544,21805,543
2010,Cornell College,Men,Football,324748,87788,543
2010,Cornell College,Men,Golf,15190,7437,543
2010,Cornell College,Men,Soccer,57059,15330,543
2010,Cornell College,Men,Tennis,32944,7435,543
2010,Cornell College,Men,Total,875740,224226,543
2010,Cornell College,Men,Track and Field Indoor,27981,11225,543
2010,Cornell College,Men,Track and Field Outdoor,28405,11649,543
2010,Cornell College,Men,Cross Country,31335,6109,543
2010,Cornell College,Men,Wrestling,159154,32977,543
2010,Cornell College,Women,Basketball,125930,20393,633
2010,Cornell College,Women,Golf,8196,4320,633
2010,Cornell College,Women,Soccer,31870,11901,633
2010,Cornell College,Women,Softball,94964,31089,633
2010,Cornell College,Women,Tennis,30985,6441,633
2010,Cornell College,Women,Total,464070,120645,633
2010,Cornell College,Women,Track and Field Indoor,26111,9355,633
2010,Cornell College,Women,Track and Field Outdoor,25687,8931,633
2010,Cornell College,Women,Cross Country,31743,6517,633
2010,Cornell College,Women,Volleyball,88584,21698,633
2011,Cornell College,Men,All Track Combined,78119,15281,544
2011,Cornell College,Men,Baseball,80013,25000,544
2011,Cornell College,Men,Basketball,110579,23990,544
2011,Cornell College,Men,Football,284608,71685,544
2011,Cornell College,Men,Golf,9039,5427,544
2011,Cornell College,Men,Soccer,55137,15634,544
2011,Cornell College,Men,Tennis,27839,6439,544
2011,Cornell College,Men,Total,786612,188911,544
2011,Cornell College,Men,Wrestling,141278,25455,544
2011,Cornell College,Women,All Track Combined,70479,7641,636
2011,Cornell College,Women,Basketball,115529,19828,636
2011,Cornell College,Women,Golf,9316,5703,636
2011,Cornell College,Women,Soccer,53312,11766,636
2011,Cornell College,Women,Softball,76307,19761,636
2011,Cornell College,Women,Tennis,6373,5516,636
2011,Cornell College,Women,Total,406980,89223,636
