Category,Value,Gender,Sport,Year
Neutral,0-0,Men,Baseball,1982
Overall,2/17/2001,Men,Baseball,1983
OverallPCT,0.125,Men,Baseball,1983
Conf,1/16/2001,Men,Baseball,1983
ConfPCT,0.083,Men,Baseball,1983
Streak,W1,Men,Baseball,1983
Home,2/7/2001,Men,Baseball,1983
Away,0-8,Men,Baseball,1983
Neutral,0-2,Men,Baseball,1983
Overall,14-Feb,Men,Baseball,1984
OverallPCT,0.125,Men,Baseball,1984
Conf,14-Jan,Men,Baseball,1984
ConfPCT,0.067,Men,Baseball,1984
Streak,L4,Men,Baseball,1984
Home,7-Jan,Men,Baseball,1984
Away,7-Jan,Men,Baseball,1984
Neutral,0-0,Men,Baseball,1984
Overall,14-Feb,Men,Baseball,1985
OverallPCT,0.125,Men,Baseball,1985
Conf,13-Feb,Men,Baseball,1985
ConfPCT,0.133,Men,Baseball,1985
Streak,L10,Men,Baseball,1985
Home,7-Feb,Men,Baseball,1985
Away,0-7,Men,Baseball,1985
Neutral,0-0,Men,Baseball,1985
Overall,13-May,Men,Baseball,1986
OverallPCT,0.278,Men,Baseball,1986
Conf,9-May,Men,Baseball,1986
ConfPCT,0.357,Men,Baseball,1986
Streak,L1,Men,Baseball,1986
Home,6-Feb,Men,Baseball,1986
Away,6-Feb,Men,Baseball,1986
Neutral,1-Jan,Men,Baseball,1986
Overall,11-Apr,Men,Baseball,1987
OverallPCT,0.267,Men,Baseball,1987
Conf,11-Apr,Men,Baseball,1987
ConfPCT,0.267,Men,Baseball,1987
Streak,W1,Men,Baseball,1987
Home,3-Mar,Men,Baseball,1987
Away,6-Jan,Men,Baseball,1987
Neutral,0-2,Men,Baseball,1987
Overall,12-Jul,Men,Baseball,1988
OverallPCT,0.368,Men,Baseball,1988
Conf,8-Jul,Men,Baseball,1988
ConfPCT,0.467,Men,Baseball,1988
Streak,L1,Men,Baseball,1988
Home,4-May,Men,Baseball,1988
Away,5-Feb,Men,Baseball,1988
Neutral,0-3,Men,Baseball,1988
Overall,13-Apr,Men,Baseball,1989
OverallPCT,0.235,Men,Baseball,1989
Conf,11-Apr,Men,Baseball,1989
ConfPCT,0.267,Men,Baseball,1989
Streak,L7,Men,Baseball,1989
Home,7-Mar,Men,Baseball,1989
Away,6-Jan,Men,Baseball,1989
Neutral,0-0,Men,Baseball,1989
Overall,16-Feb,Men,Baseball,1990
OverallPCT,0.111,Men,Baseball,1990
Conf,13-Feb,Men,Baseball,1990
ConfPCT,0.133,Men,Baseball,1990
Streak,L1,Men,Baseball,1990
Home,5-Feb,Men,Baseball,1990
Away,0-9,Men,Baseball,1990
Neutral,0-2,Men,Baseball,1990
Overall,16-Apr,Men,Baseball,1991
OverallPCT,0.2,Men,Baseball,1991
Conf,10-Mar,Men,Baseball,1991
ConfPCT,0.231,Men,Baseball,1991
Streak,L9,Men,Baseball,1991
Home,4-Mar,Men,Baseball,1991
Away,9-Jan,Men,Baseball,1991
Neutral,0-3,Men,Baseball,1991
Overall,20-Mar,Men,Baseball,1992
OverallPCT,0.13,Men,Baseball,1992
Conf,14-Jan,Men,Baseball,1992
ConfPCT,0.067,Men,Baseball,1992
Streak,L1,Men,Baseball,1992
Home,8-Jan,Men,Baseball,1992
Away,0-10,Men,Baseball,1992
Neutral,2-Feb,Men,Baseball,1992
Overall,17-May,Men,Baseball,1993
OverallPCT,0.227,Men,Baseball,1993
Conf,11-Mar,Men,Baseball,1993
ConfPCT,0.214,Men,Baseball,1993
Streak,W1,Men,Baseball,1993
Home,8-Jan,Men,Baseball,1993
Away,6-Mar,Men,Baseball,1993
Neutral,3-Jan,Men,Baseball,1993
Overall,20-Sep,Men,Baseball,1994
OverallPCT,0.31,Men,Baseball,1994
Conf,8-Jul,Men,Baseball,1994
ConfPCT,0.467,Men,Baseball,1994
Streak,W2,Men,Baseball,1994
Home,6-May,Men,Baseball,1994
Away,12-Apr,Men,Baseball,1994
Neutral,0-2,Men,Baseball,1994
Overall,25-Aug,Men,Baseball,1995
OverallPCT,0.242,Men,Baseball,1995
Conf,10-Mar,Men,Baseball,1995
ConfPCT,0.231,Men,Baseball,1995
Streak,L6,Men,Baseball,1995
Home,7-Apr,Men,Baseball,1995
Away,12-Feb,Men,Baseball,1995
Neutral,6-Feb,Men,Baseball,1995
Overall,21-Jun,Men,Baseball,1996
OverallPCT,0.222,Men,Baseball,1996
Conf,11-Apr,Men,Baseball,1996
ConfPCT,0.267,Men,Baseball,1996
Streak,W1,Men,Baseball,1996
Home,7-Feb,Men,Baseball,1996
Away,4-Mar,Men,Baseball,1996
Neutral,10-Jan,Men,Baseball,1996
Overall,28-Mar,Men,Baseball,1997
OverallPCT,0.097,Men,Baseball,1997
Conf,14-Jan,Men,Baseball,1997
ConfPCT,0.067,Men,Baseball,1997
Streak,L18,Men,Baseball,1997
Home,8-Jan,Men,Baseball,1997
Away,0-10,Men,Baseball,1997
Neutral,10-Feb,Men,Baseball,1997
Overall,21-Sep,Men,Baseball,1998
OverallPCT,0.3,Men,Baseball,1998
Conf,9-Mar,Men,Baseball,1998
ConfPCT,0.25,Men,Baseball,1998
Streak,L1,Men,Baseball,1998
Home,4-Jan,Men,Baseball,1998
Away,9-Jun,Men,Baseball,1998
Neutral,8-Feb,Men,Baseball,1998
Overall,13-19,Men,Baseball,1999
OverallPCT,0.406,Men,Baseball,1999
Conf,8-Apr,Men,Baseball,1999
ConfPCT,0.333,Men,Baseball,1999
Streak,L1,Men,Baseball,1999
Home,5-Jul,Men,Baseball,1999
Away,8-Feb,Men,Baseball,1999
Neutral,6-Apr,Men,Baseball,1999
Overall,18-13,Men,Baseball,2000
OverallPCT,0.581,Men,Baseball,2000
Conf,3-Sep,Men,Baseball,2000
ConfPCT,0.75,Men,Baseball,2000
Streak,L2,Men,Baseball,2000
Home,4-May,Men,Baseball,2000
Away,4-Jun,Men,Baseball,2000
Neutral,5-Jul,Men,Baseball,2000
Overall,19-12,Men,Baseball,2001
OverallPCT,0.613,Men,Baseball,2001
Conf,5-Jul,Men,Baseball,2001
ConfPCT,0.583,Men,Baseball,2001
Streak,L2,Men,Baseball,2001
Home,3-May,Men,Baseball,2001
Away,6-May,Men,Baseball,2001
Neutral,3-Sep,Men,Baseball,2001
Overall,19-Dec,Men,Baseball,2002
OverallPCT,0.387,Men,Baseball,2002
