Year,Gender,Scores,Rank,School,Sport
2005,Women,9,2,Carroll University,Track & Field (Indoor)
2005,Women,9,2,Carroll University,Track & Field (Outdoor)
2005,Women,61.5,4,Carroll University,Total
2005,Women,3.5,7,Grinnell College,Volleyball
2005,Women,8,3,Grinnell College,Soccer
2005,Women,10,1,Grinnell College,Cross Country
2005,Women,10,1,Grinnell College,Tennis
2005,Women,2,9,Grinnell College,Basketball
2005,Women,10,1,Grinnell College,Swimming & Diving
2005,Women,6,5,Grinnell College,Track & Field (Indoor)
2005,Women,7,4,Grinnell College,Track & Field (Outdoor)
2005,Women,69,1,Grinnell College,Total
2005,Women,5,6,Illinois College,Volleyball
2005,Women,4,7,Illinois College,Soccer
2005,Women,1,10,Illinois College,Cross Country
2005,Women,1,10,Illinois College,Tennis
2005,Women,6,5,Illinois College,Basketball
2005,Women,5,6,Illinois College,Track & Field (Indoor)
2005,Women,4,7,Illinois College,Track & Field (Outdoor)
2005,Women,44,9,Illinois College,Total
2005,Women,1.5,9,Knox College,Volleyball
2005,Women,1,10,Knox College,Soccer
2005,Women,2,9,Knox College,Cross Country
2005,Women,4,7,Knox College,Tennis
2005,Women,1,10,Knox College,Basketball
2005,Women,2,9,Knox College,Swimming & Diving
2005,Women,3,8,Knox College,Track & Field (Indoor)
2005,Women,3,8,Knox College,Track & Field (Outdoor)
2005,Women,28,10,Knox College,Total
2005,Women,9,2,Lake Forest College,Volleyball
2005,Women,10,1,Lake Forest College,Soccer
2005,Women,4,7,Lake Forest College,Cross Country
2005,Women,9,2,Lake Forest College,Tennis
2005,Women,7.5,3,Lake Forest College,Basketball
2005,Women,9,2,Lake Forest College,Swimming & Diving
2005,Women,58.5,5,Lake Forest College,Total
2005,Women,3.5,7,Lawrence University,Volleyball
2005,Women,6,5,Lawrence University,Soccer
2005,Women,9,2,Lawrence University,Cross Country
2005,Women,2,9,Lawrence University,Tennis
2005,Women,7.5,3,Lawrence University,Basketball
2005,Women,7,4,Lawrence University,Swimming & Diving
2005,Women,2,9,Lawrence University,Track & Field (Indoor)
2005,Women,2,9,Lawrence University,Track & Field (Outdoor)
2005,Women,46,8,Lawrence University,Total
2005,Women,8,3,Monmouth College,Volleyball
2005,Women,5,6,Monmouth College,Soccer
